리뷰
즐거운 상상력
좋네요
재미있게 잘 봤어요 !!
디즈니의 역대작이네요!!
초심으로 돌아온 픽사. 신박한 발상. 아쉬운 서사.
역시 믿고보는 픽사
디즈니 픽사는 어른들의 애니메이션
공감과 소통이 무엇인지 그리고 왜 필요한지를 알려주네요
애들영화라 생각하고 보다 눈물이...
힐링 힐링 힐링
이프 프시케 푸른수염의 아내
"저는 별로얐어요 픽사치고 캐릭터가 매력적으로 다가오지 않았고 꿈과 사랑, 이민자의 삶 여러가지를 이야기하려다보니 내용이 개연성이 없고 몰입이 되지 않았어요"
믿고보는 픽사
재미있게 잘봤습니다
정말 재미있게 잘봤습니다
재미있게 잘봤습니다
귀엽고 감동적이고 눈물나요
재미있게 잘봤습니다
요즘 영화답지않게 고퀄의 영상미는 아니었지만 스토리는 너무좋았어요 울컥함 ㅠㅠ
신선하고 독특한 소재를 이렇게 구현하다니~ 울다가 웃다가 재밌게 봤습니다!!
독특한 소재. 한국감독이라 그런가 어째 K정서가 한가득이라 캐릭터에 감정이입 완전함
영상미는 좋았는데~ 제 취향이 아니네요..
스토리는 아쉽지만 캐릭터들이 귀엽네요
신선한 소재. 몽글몽글 귀여운 영화
재밌게봤어요 ㅋㅋㅋ ㅎㅎ
재밌었어요 추천합니다 ㅎㅎ
진짜 재밌어요 꽉찬 극장이였는데 관크도 없고 너무 좋았어요
너무 좋아요!
색감이 너무 예뻐요!
원소를 사용한 좋은 아이디어 따봉
색감도 좋고 잼있습니다
그렇게 재미있진않네요
초딩 4학년 딸아이가 연신 아름답고 재밌다고 감탄하며 본 영화~ 사랑하는 딸아~ 네가 좋아하고 행복할 수 있는 일을 하며 살아가거라♡♡♡
한국계 감독다운 장면들이 보였네요 재밌게 봤습니다
스토리는 별거없지만 감동도 재미도 있음
정석적인 이야기
마음 따뜻해지는 힐링 영화
"영상미,스토리, OST 뭐하나 빠지는게 없네요 재미와 감동을 다 잡은 영화에요 영화보면서 '나 자신'에 대해,가족간의 관계에 대해서 생각을 많이 하게 되네요 영화를 통해 위로받은 느낌이에요"
"원소들의 특징들을 보여주는 장면들이 흥미로웠고, 서로 다른이들이 어떻게 함께 살아가는지 알아가는 과정들이 좋았습니다. 무엇보다 다양한 색채와 질감들을 표현하는 아름다운 장면들이 기억에 남아요 :)"
엘리멘탈 잘 봤어요
엘리멘탈 잘 봤어요
뻔해서 좋아
감동
무난하게 보기 좋았습니다
잘봤어요
초반에는 다소 지루한 느낌있으나 중반부터 웨이드 대사 하나하나가 힐링 그자체임. OsT도 진짜 너무 좋아요.
한국 감독님이라고 우리나라 전통 문화의 느낌이 나는 건 아니었다. 그렇다고 그동안 픽사 애니의 감동을 느낀 것도 아니었다. '그 장면'도 이쯤이면 예쁜 장면 보여줘야겠지? 해서 넣은 느낌. 오히려 손기술(!) 징면이 더 아름다웠다.
무한 상상력 물과 불 다양한 원소들의 특징을 잘 잡았네요 ㅎ 아이들이 너무 신기해 하고 영상미가 좋네요 스토리는 잔잔합니다
잘봤어요!
