리뷰
아름다운 이별의 정석이네요
이전 가오갤 시리즈 보다는 좀 그랬지만 머리 비우고 보는 용도로는 좋아요!
역씌는 역씌! 재미있다 증말
그냥 최고
현 시점에 마블의 희망이 아닐까 싶습니다 정말 최고였습니다 로켓의 가슴 아픈 과거 이야기.. ㅠㅠ
여자친구랑 가서 봤는데 재밌었어요
우주의 가슴아픈 너구리 이야기
아... ㅜㅡ 마블의 마지막 희망이 이렇게 화려하게 피날레를 장식하네요
로켓이가 쏘아올린 작은 공
가오갤의 완벽한 마무리
너무 재밌어요. 아들이 더좋아하네요
마블이 마블했다 가족영화다 바로 이게!!!
우리가 마블에게 기대한 모든 것. 앞으로는 이런 만족감을 다시 느낄 수 없을 것 같아 씁쓸하다.
안녕 가오갤~
가오갤3 재미나게 관람했네요
진짜 진짜 유쾌한 영화^^ 강추합니다
♡♡♡♡♡♡♡♡♡♡♡♡
마블중에 그나마 젤 괜찮은 가오갤
굿바이 가오갤~~ㅠㅠ
재밌게 봤어 요
가다언주오부걀록사가
마블 최고의 영화입니다 또 보고싶네요
사람이 제일 나빠.... 로켓 건강하고 행복하자 역시 가오갤!
마알못인 친구랑 봤는데 몰라도 감동이고 재밌더라고여!!
동물친구들 천국에서 행복하길...
슬프지만 재미있어요
영화 뭐 볼지 망설이고 있다면 마블을 좋아하는 사람이든 아니든 추천합니다. 후회하진 않을 거에요.
함정인줄 알고 가면 함정이 아니고 대결이지~!
최고~~~~
시리즈 최고의 영화 마무리진짜잘함
굿바이가오갤 굿바이 로켓
재미지네요
평점이 높아서 기대하고 봤는데 예전보다 좀 잔인하기도 하고 캐릭터가 좀 징그럽기도 하고 별로였어요. 차라리 플레시가 낫다는 생각이 드네요.
"마지막이라서 아쉽지만, 리부트되면 다시 만나요..."
사랑스런 영화내요.
재밌었어용
첨부터 마지막까지 좋앗던건 너희들이엿어
정말 유쾌하면서 재밌는 영화. 절대 실망시키지 않아요
가오갤 다시봐두 너무 재밌어요 로켓 너무 고생했어ㅠㅠ
굿바이!! 정말 재미있었고 아름답게 떠나갔다. 가오갤은 정말 잘만든 영화
재밌어요~~마블 저조했는데.. 가디언즈는 나름 괜찮네요
역시 마블이네요
재미있어요
역시 이번에도 최고였던 로켓
볼거리와 스토리가 알차 재밌어요~~
"재미와 감동 모두를 잡았네요. 3편인데, 가장 완성도가 높아서 깜짝 놀랬습니다. 승승장구 하시길~"
감동적인 로켓의 스토리
시리즈의 마무리를 깔끔하게 잘 끝냈습니다
재미있게 잘 보았습니다
재미있게 잘 보았습니다.
재미있어 ~요 감동도 있구요~
재미있어요
왠지 마음이 짠하네요. 이래두 되는건지...
재밌다.. 마지막이라고 너무 꽉꽉 담아주시는 거 아니에요?.. 가지마..
아름다운 퇴장
주인공 너구리 로켓의 과거의 아픈 역사를 밝히는 내용이라 그만의 아픔과 왜 갤럭시팀의 멤버가 되었는지 알게된다.
그냥 그저
확실히 달라졌어요. 재미가 한층더 좋아졌어요.
짱!
감동도 있고 넘 재밌었어요
재미있게 봤습니다
완전 재밌음
뇌절
재밋었어요
오랜만에 재밌게 잘 봤어요
미성숙한 그들이 함께라면
넘 좋아요…
최고의 마무리
재미있네요 잘 관람했습니다
재미있네요 잘봤습니다
역시 가오갤 ????
무난하게 볼 수 있었던 영화였습니다.
잘 봤어요. 감사합니다.
??
생각보단 그렇게 재밌진않은대 마블팬이라서ㅎㅎ
쥽쥽!!
용두용미. 내가 가오갤을 보고 이렇게 감동받게 될줄이야
롯데시네마 가디언즈 오브 갤럭시 아트카드
재미있었어요
가오겔3
마블은 여기서 끝인가
가오갤은 가족이죠... 언제나 그렇듯 유쾌한 캐릭터들과 병맛 유머 그리고 귓가에 맴도는 ost 신나게 즐겁게 재밌게 잘 봤습니다~ 굿~~
잘 보았습니다.
가오갤 팬이라면 필수!
배우들의 호흡이 찰떡입니다.
마블은 망해도 갤럭시는 안망할듯 영화가 아니라 예술을 본것같다
기대했는데 기대보다 재미있네요
그들만의 엉뚱함도 모든 생명을 소중하게 여겨야한다는 의미전달도 제법 잘 나옴
재밌어요 ㅎㅎ
재밌어용 ㅎ 추천합니다!
최근 마블 영화중 최고~~
가오갤다운 마무리
재미있음.. 서사도 영상도 액션도
감동적이었습니다ㅠㅠ
역시 가.오.갤. 마지막 인것 같아 아쉽네요
"최고! 1,2도 재미있지만 3가 가장 좋았다"
재밌게 봤어요~
가오갤의 줍줍이 될래요
♡♡♡♡♡로켓
재밌어요 추천
